CustomerKey_Output,CustomerID_Source,CustomerID_Output,CustomerID_Reason,CustomerID_Confidence,CustomerID_Status,Fullname_Source,Fullname_Output,Fullname_Reason,Fullname_Confidence,Fullname_Status,CompanyName_Source,CompanyName_Output,CompanyName_Reason,CompanyName_Confidence,CompanyName_Status,Record_Status
2,1,"1,00",New value,,New,Juan Ramirez,Juan Ramirez,New value,,New,Alianza,Alianza,New value,,New,New
3,2,"2,00",New value,,New,Keith Harris,Keith Harris,New value,,New,Progressive Sports,Progressive Sports,New value,,New,New
4,3,"3,00",New value,,New,Donna Carreras,Donna Carreras,New value,,New,Advanced Bike Components,Advanced Bike Components,New value,,New,New
5,4,"4,00",New value,,New,Janet Gates,Janet Gates,New value,,New,Modular Cycle Systems,Modular Cycle Systems,New value,,New,New
6,5,"5,00",New value,,New,Lucy Harrington,Lucy Harrington,New value,,New,Metropolitan Sports Supply,Metropolitan Sports Supply,New value,,New,New
7,6,"6,00",New value,,New,Rosmarie Carroll,Rosmarie Carroll,New value,,New,Aerobic Exercise Company,Aerobic Exercise Company,New value,,New,New
8,7,"7,00",New value,,New,Dominic Gash,Dominic Gash,New value,,New,Associated Bikes,Associated Bikes,New value,,New,New
9,10,"10,00",New value,,New,Kathleen Garza,Kathleen Garza,New value,,New,Rural Cycle Emporium,Rural Cycle Emporium,New value,,New,New
10,11,"11,00",New value,,New,Katherine Harding,Katherine Harding,New value,,New,Sharp Bikes,Sharp Bikes,New value,,New,New
11,12,"12,00",New value,,New,Johnny Caprio,Johnny Caprio,New value,,New,Bikes and Motorbikes,Bikes and Motorbikes,New value,,New,New
12,16,"16,00",New value,,New,Christopher Beck,Christopher Beck,New value,,New,Bulk Discount Store,Bulk Discount Store,New value,,New,New
13,18,"18,00",New value,,New,David Liu,David Liu,New value,,New,Catalog Store,Catalog Store,New value,,New,New
14,19,"19,00",New value,,New,John Beaver,John Beaver,New value,,New,Center Cycle Shop,Center Cycle Shop,New value,,New,New
15,20,"20,00",New value,,New,Jean Handley,Jean Handley,New value,,New,Central Discount Store,Central Discount Store,New value,,New,New
16,21,"21,00",New value,,New,Jinghao Liu,Jinghao Liu,New value,,New,Chic Department Stores,Chic Department Stores,New value,,New,New
17,22,"22,00",New value,,New,Linda Burnett,Linda Burnett,New value,,New,Travel Systems,Travel Systems,New value,,New,New
18,23,"23,00",New value,,New,Kerim Hanif,Kerim Hanif,New value,,New,Bike World,Bike World,New value,,New,New
19,24,"24,00",New value,,New,Kevin Liu,Kevin Liu,New value,,New,Eastside Department Store,Eastside Department Store,New value,,New,New
20,25,"25,00",New value,,New,Donald Blanton,Donald Blanton,New value,,New,Coalition Bike Company,Coalition Bike Company,New value,,New,New
21,28,"28,00",New value,,New,Jackie Blackwell,Jackie Blackwell,New value,,New,Commuter Bicycle Store,Commuter Bicycle Store,New value,,New,New
